species,r.squared,adj.r.squared,f_statistic,model_p_value
s__Bacteroides_uniformis,0.395040066553663,0.384716518201337,38.2659191463597,8.78139142386002e-58
s__Faecalibacterium_longum,0.183435469302105,0.172871891932146,17.3649004383449,1.09151015767213e-28
s__Faecalibacterium_duncaniae,0.16934306458944,0.158881390339937,16.1869946005517,9.39726144142696e-27
s__Phocaeicola_vulgatus,0.158351555955979,0.117494835371318,3.87577744101735,7.80969751885932e-05
s__Lachnospira_eligens_A,0.131715786509585,0.116320676341315,8.55568976577114,4.55715470550727e-13
s__Agathobacter_faecis,0.126136399364352,0.113598901507312,10.0607314794897,6.80116947222751e-16
s__Mediterraneibacter_faecis,0.114788732176768,0.103322264976985,10.010819389859,6.49156402673354e-16
s__Prevotella_copri_A,0.0854383644400181,0.07271845295796,6.71689929293389,4.90182019815912e-10
s__Acetatifactor_sp900066565,0.0802064098467283,0.0677092143283415,6.41795271016784,1.60487090323141e-09
s__Ruminococcus_E_bromii_B,0.0892272613742289,0.0675937046372747,4.12448412709742,1.89994556584063e-05
s__Agathobacter_rectalis,0.0768029572025002,0.0655718496258881,6.83841345820937,2.60203698290869e-10
s__Prevotella_sp015074785,0.0717623395190632,0.0596126319211452,5.90650753861438,1.22840700068228e-08
s__Ruminiclostridium_E_siraeum,0.077586652444903,0.0547546388915591,3.39815199669675,0.000277935430143898
s__Escherichia_coli,0.0635632947424734,0.0489314712228246,4.3441813426136,6.65317811323579e-06
s__Acetatifactor_intestinalis,0.058717380231677,0.0452704856635582,4.36661267285381,5.8652712975063e-06
s__Roseburia_inulinivorans,0.05357920497531,0.0418515619142854,4.56862514458457,2.50554406707896e-06
s__Prevotella_sp900767615,0.0492130978403411,0.0347634488713494,3.40583345283681,0.000232645639101053
s__Prevotella_sp900556795,0.0491718701280014,0.0340312948115682,3.24768835399748,0.000421631298371837
s__Prevotella_sp934191715,0.0372636216508557,0.0234905690278351,2.70554558025664,0.00290850120027956
s__Agathobacter_sp900546625,0.0374001962836606,0.0226590048025527,2.53712166561247,0.00526553056826358
s__Prevotella_sp900544825,0.0364601079563786,0.021883105051029,2.50120742879167,0.00594758454411178
s__Prevotella_sp900551275,0.0318717325554049,0.0193312109563816,2.54149975371736,0.0050960190024311
s__Prevotella_sp934202525,0.0277549728422009,0.0153696858720378,2.24096324203584,0.0140797731278279
s__Prevotella_sp900546535,0.0264804827302464,0.0105472664083193,1.6619671882446,0.0860704476325573
s__Prevotella_sp900313215,0.0255016761441148,0.00944733802457809,1.5884601379537,0.106007395115912
