species	correlation	p.value	p.adj	degree_of_relationship
s__Acetatifactor_intestinalis	0.374173679057799	4.76818733544144e-25	4.36289141192891e-23	Weak
s__Acetatifactor_sp900066565	0.127617780164127	0.000471537751231723	0.00377918577264549	Very weak
s__Acetatifactor_sp900554205	0.374025711608634	1.07901076387148e-05	0.000157967175830785	Weak
s__Acetatifactor_sp900772845	0.322153650004503	0.00207871758477628	0.01220551822505	Weak
s__Acetatifactor_sp934394815	0.399069479316352	0.00231387769448321	0.0133717774133819	Weak
s__Adlercreutzia_hattorii	0.634404322207323	1.67795767017997e-09	4.28464539966885e-08	Strong
s__Agathobacter_faecis	0.133533688626587	0.000366934684841137	0.00317239593665802	Very weak
s__Agathobacter_sp900543445	0.212899173297553	0.000548131301141903	0.00426589322297755	Weak
s__Agathobacter_sp900546625	0.185276110335161	1.5327787295069e-06	2.6714143571406e-05	Very weak
s__Agathobacter_sp900548765	0.196521801826964	0.00444122974966404	0.0225762512274589	Very weak
s__Agathobacter_sp934307695	0.300098056963522	0.000522579111532354	0.00409851331758946	Weak
s__Agathobacter_sp934365945	0.275993246305672	1.67373719846505e-06	2.87150538111659e-05	Weak
s__Agathobaculum_butyriciproducens	0.145480220028246	0.0107040983708748	0.0457319066584456	Very weak
s__Agathobaculum_sp003481705	0.201880961086322	0.00322476626465	0.0176158873561477	Weak
s__Alistipes_onderdonkii	0.186373737813	0.0018382669899467	0.0110191011445141	Very weak
s__Alistipes_shahii	-0.151743174032057	0.000751862682300668	0.00536068328029957	Very weak
s__Alloprevotella_sp900539625	0.20596903507654	2.82078619069611e-05	0.000344135915264926	Weak
s__Alloprevotella_sp900540885	0.271320244391316	5.55358552839633e-05	0.000615943122240321	Weak
s__Alloprevotella_sp900543155	0.351487813198893	9.30508489335709e-07	1.64790051821066e-05	Weak
s__Alloprevotella_sp900768625	0.2864305475127	0.00120223928252928	0.0080985198295531	Weak
s__Alloprevotella_timonensis	0.441911989048875	4.6413615349461e-16	1.96008267898877e-14	Moderate
s__Anaerobutyricum_hallii	0.175378385428482	0.000486103190918139	0.00386769060600085	Very weak
s__Anaerostipes_hadrus	0.13978636737006	0.00964344354178483	0.0421852629835846	Very weak
s__Anaerostipes_hadrus_A	0.379050454087573	0.00218709202164423	0.0127623852253501	Weak
s__Angelakisella_sp004557855	0.284638360650246	0.000154104226104656	0.00153824036602648	Weak
s__Bacteroides_eggerthii	0.363841977423411	2.81577680467955e-05	0.000344135915264926	Weak
s__Bacteroides_ovatus	0.172706708053789	3.03341706548533e-05	0.000362552297211383	Very weak
s__Bacteroides_sp900552405	0.325489953745777	0.000461984417397566	0.00372984478163623	Weak
s__Bacteroides_uniformis	0.199435074919915	9.00918551173536e-07	1.62165339211236e-05	Very weak
s__Bacteroides_xylanisolvens	0.203044034785918	3.11375492579531e-06	4.81535620918768e-05	Weak
s__Bariatricus_comes	-0.194957661992099	3.22048008552412e-06	4.91123213042428e-05	Very weak
s__Bariatricus_sp934320645	0.237092686251654	0.00238340364519896	0.0136300895959816	Weak
s__Bifidobacterium_longum	0.244658676393955	1.65652052732939e-05	0.000227357442375959	Weak
s__Bilophila_wadsworthia	0.281573468707456	4.64064367464019e-08	1.03988301117448e-06	Weak
s__Blautia_A_faecis	0.25427450351411	6.17185532451909e-10	1.69417428658049e-08	Weak
s__Blautia_A_obeum	0.152690081535165	0.0050994750679974	0.025335853505254	Very weak
s__Blautia_A_sp000436615	0.27268572599567	0.00395020972667183	0.0205560676771833	Weak
s__Blautia_A_sp003471165	0.330101607151195	0.0038244069303548	0.0200918603326774	Weak
s__Blautia_A_sp018919065	0.453590823473321	3.03777881087862e-05	0.000362552297211383	Moderate
s__Blautia_A_sp900066145	0.226222513286946	0.000270461363504834	0.00245426923246535	Weak
s__Blautia_A_sp900066335	0.246012509000665	0.00350867730636117	0.0186112448424375	Weak
s__Blautia_A_sp900066355	0.402171062864532	0.00559459047865807	0.0273016015358514	Moderate
s__Brachyspira_aalborgi	0.238356160084229	0.00131317215625306	0.00873856380342947	Weak
s__Bulleidia_sp934725105	0.338752688172043	0.000111447648910125	0.00117662998560882	Weak
s__Butyribacter_sp003529475	0.275780946428741	0.000309378330678473	0.00276176753727612	Weak
s__Butyricimonas_faecalis	0.308725092256224	3.80111822581724e-07	7.19591002059885e-06	Weak
s__Butyricimonas_paravirosa	-0.526360080036846	7.66382406436354e-11	2.27429157369491e-09	Moderate
s__Butyricimonas_virosa	0.260811164434611	4.63849606970138e-05	0.000530527987972096	Weak
s__Butyrivibrio_A_crossotus	0.18057853218275	0.000245890773455908	0.0022688073046604	Very weak
s__CAAFZY01_sp900767645	-0.385578115339698	0.000378311357232703	0.00324520211126178	Weak
s__CAG-103_sp900757655	0.255041769360856	0.011262369016054	0.0477454871800283	Weak
s__CAG-1193_sp934130375	0.30910086620741	0.00779372066156821	0.0352160711374564	Weak
s__CAG-170_sp003516765	0.319294703576251	0.00192005393250126	0.0113345119241204	Weak
s__CAG-177_sp003514385	0.127932736397575	0.0119916151926996	0.0498843764413685	Very weak
s__CAG-177_sp003538135	0.289301973955652	1.2412745168549e-05	0.000174733258911113	Weak
s__CAG-238_sp000435615	0.281262932481887	0.0120394897604396	0.0498843764413685	Weak
s__CAG-238_sp900542245	0.352133255406195	0.00623578671893405	0.0297691035538678	Weak
s__CAG-245_sp000435175	0.244571982119471	0.000382956042065915	0.0032595793347936	Weak
s__CAG-245_sp900761475	0.474758933635848	0.00148917854571867	0.00950650025115757	Moderate
s__CAG-245_sp934119935	0.31261202322817	0.0063213924285326	0.0299176245109	Weak
s__CAG-269_sp000431335	0.276761468121017	0.0040792070454966	0.0209297632521274	Weak
s__CAG-269_sp000435535	0.48440065681445	0.00899738635000723	0.0400915713627412	Moderate
s__CAG-273_sp000435755	0.507921245421245	1.83341426881792e-05	0.000248529489773096	Moderate
s__CAG-302_sp900554615	0.410576414595452	0.0010141229481816	0.00700318866102765	Moderate
s__CAG-302_sp934162325	0.32937642785808	2.73793582688595e-06	4.42096108517761e-05	Weak
s__CAG-303_sp000437755	0.269186413584645	0.00648775124764556	0.0304425250851061	Weak
s__CAG-307_sp001916215	0.213302300248389	0.00255098961449263	0.014364033829297	Weak
s__CAG-353_sp900066885	0.167078818452797	0.00851215853928451	0.0381483676576914	Very weak
s__CAG-41_sp900066215	0.214088267008924	5.53053034618665e-05	0.000615943122240321	Weak
s__CAG-433_sp900546245	0.388646236052754	0.000140663662504914	0.00143008056879996	Weak
s__CAG-488_sp000434055	0.263736712329032	0.000109821913501139	0.00117072292256554	Weak
s__CAG-492_sp900553225	0.474442668951601	0.00931282524516104	0.0409019284767473	Moderate
s__CAG-533_sp000434495	0.360391782130913	0.000449641634777356	0.00365708529618916	Weak
s__CAG-605_sp000433255	0.292663167905322	0.00565695578925822	0.0274837940557766	Weak
s__CAG-724_sp003524145	-0.234531230632798	0.00637944999937434	0.0300628158768799	Weak
s__CAG-724_sp905202255	0.202305777340339	0.0115876738053015	0.0488181564929628	Weak
s__CAG-882_sp003486385	0.255820051010994	0.000172217075707498	0.00170355269483634	Weak
s__CAG-95_sp000436115	0.295695279407673	0.000429738727820136	0.00357464487232204	Weak
s__CAG-95_sp000438155	0.236780716989451	4.3694327229239e-05	0.000505014434712679	Weak
s__CAG-95_sp021628825	-0.36533186808078	0.000683662082218781	0.00500440644184147	Weak
s__CAG-95_sp900066375	0.149520807337955	0.00319322726795987	0.0175308177010997	Very weak
s__CAG-95_sp900553305	-0.475889644035976	1.39394489777406e-05	0.000193740695918471	Moderate
s__CAG-964_sp000435335	0.376321353065539	0.0118130058041246	0.0495064136371327	Weak
s__CAKPEZ01_sp934149465	0.626482213438735	0.00138180300390012	0.00906722341272441	Strong
s__COE1_sp001916965	0.260046086210923	2.08904016557564e-06	3.47540318454857e-05	Weak
s__Campylobacter_D_sp900539255	0.314736552125449	0.000725353099117145	0.00523972172914885	Weak
s__Campylobacter_D_sp900772495	0.290133160343061	0.00182575660184759	0.0110191011445141	Weak
s__Catenibacterium_mitsuokai	0.239217449549964	0.00152567599724052	0.00955822618889221	Weak
s__Catenibacterium_sp000437715	0.416066294757474	2.44605030402757e-11	7.89930362888905e-10	Moderate
s__Choladocola_sp003480725	0.249560221022959	8.25833107942012e-09	2.01503278337851e-07	Weak
s__Choladocola_sp003481535	0.11788381922918	0.00331153535133245	0.0178238520380541	Very weak
s__Clostridium_Q_fessum	0.173955962443204	2.52519928201296e-05	0.000323824767245157	Very weak
s__Clostridium_sp000435835	-0.211675713318869	3.10719520060291e-05	0.000366849497877634	Weak
s__Clostridium_sp900540255	-0.232112126566936	3.27431373987955e-05	0.000382467711317846	Weak
s__Collinsella_sp934654835	0.406946634037987	0.000933409906559388	0.00652792405988667	Moderate
s__Collinsella_sp934667065	-0.515147659539004	0.000179256978478072	0.00174180674662764	Moderate
s__Coprococcus_sp900066115	0.23762988181655	4.92025193690498e-05	0.000556952229558935	Weak
s__Coprococcus_sp900548215	0.205626015993637	0.0100184383605865	0.0436517671425556	Weak
s__Copromonas_sp900066535	0.111921416836342	0.00330946222124348	0.0178238520380541	Very weak
s__Copromonas_sp900066785	0.36733486837273	7.99827593911165e-10	2.09097785265347e-08	Weak
s__Cryptobacteroides_sp000433355	0.330210133208217	2.69970099986849e-12	9.56216676727615e-11	Weak
s__Cryptobacteroides_sp000435075	0.242588541706194	2.92492981379079e-06	4.58796133648898e-05	Weak
s__Cryptobacteroides_sp900546925	0.19988030002984	0.00544186676664862	0.0266748647758044	Very weak
s__Cryptobacteroides_sp934700615	-0.285986765653458	7.35457759881901e-08	1.58339729480456e-06	Weak
s__Dialister_sp934178345	0.39949755737291	0.0014248633783088	0.009202941114018	Weak
s__Dorea_A_longicatena_B	0.339987453197001	1.21019532167011e-20	6.99365506944094e-19	Weak
s__Dorea_A_sp900550865	-0.255693088647471	0.00190876811844988	0.0113287967246377	Weak
s__Dorea_A_sp934294775	0.239083133880131	0.000555576257637332	0.00426589322297755	Weak
s__Dorea_A_sp934295165	-0.303325100071487	0.0101292568520154	0.04396017400598	Weak
s__Dysosmobacter_sp001916835	0.210811089070029	4.16451465273024e-08	9.52632726812043e-07	Weak
s__Dysosmobacter_sp900542115	-0.230724723544743	0.0073162088459257	0.033437917565217	Weak
s__Dysosmobacter_sp900544105	-0.288650986900276	0.000177988855894668	0.00174180674662764	Weak
s__ER4_sp000765235	0.255598192500176	4.11119833533235e-12	1.41065492881091e-10	Weak
s__ER4_sp900317525	0.186030719388217	2.40386525699478e-06	3.93946873459741e-05	Very weak
s__Enteromonas_sp900767605	-0.566951393843076	0.00914115150836959	0.0404717111136686	Moderate
s__Eubacterium_F_sp000433735	0.413891563826336	0.000100457831407588	0.00108139900868168	Moderate
s__Eubacterium_I_ramulus	0.16643850844821	0.00249504966605598	0.0141214666666467	Very weak
s__Evtepia_sp004556345	0.185359403489914	0.00411202093637827	0.02099999529369	Very weak
s__F23-B02_sp003533405	0.311223695572572	0.0035370699730536	0.0186716482231387	Weak
s__F23-B02_sp900545805	0.427306819190553	0.0021968040141996	0.0127623852253501	Moderate
s__F23-B02_sp900556535	0.269944647014893	0.00582284866928572	0.0281651446646507	Weak
s__Faecalibacillus_faecis	0.21745291729941	0.00244732348681385	0.0139231149664332	Weak
s__Faecalibacterium_duncaniae	0.336337179709533	9.67724867805391e-23	6.6410119053145e-21	Weak
s__Faecalibacterium_longum	0.338748490788149	1.67426523259164e-22	1.08137836787389e-20	Weak
s__Faecalibacterium_prausnitzii	0.36655289348718	7.44851879422394e-25	6.29113356619838e-23	Weak
s__Faecalibacterium_prausnitzii_D	0.332422070809593	6.32060372931803e-18	3.30477280704343e-16	Weak
s__Faecalibacterium_prausnitzii_E	0.154072833972452	0.00138733472981576	0.00906722341272441	Very weak
s__Faecalibacterium_prausnitzii_F	0.250864433544067	0.000553023266755591	0.00426589322297755	Weak
s__Faecalibacterium_prausnitzii_J	0.425660378727036	1.82279773849287e-29	2.2238132409613e-27	Moderate
s__Faecalibacterium_sp900539885	-0.146875066573751	0.00043482408810625	0.003589750742411	Very weak
s__Faecalibacterium_sp900539945	0.182084610536955	2.87358118945839e-06	4.57274224061639e-05	Very weak
s__Faecalibacterium_sp900551435	0.283718586597759	0.00140684685484347	0.00914034228768127	Weak
s__Faecalibacterium_sp900758465	0.310418674107525	2.77476285685273e-11	8.70482747664085e-10	Weak
s__Faecalibacterium_sp905215595	0.166419129886602	0.000571555619448429	0.00429841143941353	Very weak
s__Faecalibacterium_sp934540955	0.233740798246204	6.02220312353633e-08	1.32247580592858e-06	Weak
s__Faecousia_sp000434635	0.242763893236747	0.000568827493683084	0.00429841143941353	Weak
s__Faecousia_sp900546075	0.248970931692729	0.00271318725018971	0.0151993857178995	Weak
s__Faecousia_sp900549495	0.299097411502758	0.00703678052447167	0.0324638025876886	Weak
s__Faecousia_sp900553805	0.371827459430734	0.000802554879175328	0.00568519520860974	Weak
s__Faecousia_sp900763965	0.253112721480754	0.00918330228859223	0.0404950438268043	Weak
s__Fimisoma_sp000435715	0.453781512605042	0.00618168716654892	0.0296397052789114	Moderate
s__Fusicatenibacter_saccharivorans	0.14284925891232	0.000359641915528219	0.00313402240674591	Very weak
s__Fusobacterium_A_mortiferum	0.386401098901099	0.00161188290924293	0.00994296311431873	Weak
s__Gemmiger_formicilis	0.418614439677045	2.42090153720505e-17	1.20824994902325e-15	Moderate
s__Gemmiger_sp900540595	0.341755156408618	0.000410700550726711	0.00346884003613791	Weak
s__Gemmiger_sp900540775	0.307435183964048	0.0049604205761608	0.0248507029211473	Weak
s__HGM10818_sp905211265	-0.263782672225354	0.0119999926365121	0.0498843764413685	Weak
s__HGM11416_sp900768525	0.273940293529395	0.00394657697499478	0.0205560676771833	Weak
s__HGM11416_sp934247855	-0.452351083455318	0.000252229196916829	0.00230789715178899	Moderate
s__Holdemanella_biformis	0.330213334781857	5.7419686081326e-07	1.05078025528827e-05	Weak
s__Holdemanella_sp003436425	0.201553092702267	0.00494215599579828	0.0248507029211473	Weak
s__KLE1615_sp900066985	0.17837091188113	1.93501595365331e-05	0.000255981628567631	Very weak
s__Lachnospira_eligens_A	0.131615462041725	0.00156190135808838	0.00968908300102283	Very weak
s__Lachnospira_rogosae	0.263071465943882	1.35157781209004e-07	2.69824079577247e-06	Weak
s__Lachnospira_sp003451515	0.181223125765956	0.00021354592570242	0.00202132264156256	Very weak
s__Lachnospira_sp003537285	0.218520526296301	0.000122604384184317	0.00128209156032743	Weak
s__Lachnospira_sp900316325	0.175769609840934	0.0040321413922394	0.0208587265393838	Very weak
s__Lachnospira_sp934359185	0.529085235410382	0.000131540226768551	0.00134982400926981	Moderate
s__Ligilactobacillus_ruminis	0.432214421127113	6.37950941033636e-06	9.59548127746483e-05	Moderate
s__Limivicinus_sp900547315	0.238606655681127	0.000646920219498719	0.00476723759066842	Weak
s__Mediterraneibacter_faecis	0.370167540976055	7.78303636474333e-27	7.76888538953471e-25	Weak
s__Mediterraneibacter_lactaris	0.209522921708461	0.000184358022340459	0.00177565884675285	Weak
s__Merdisoma_sp900553635	0.325842696629214	0.00183292516091649	0.0110191011445141	Weak
s__Methanobrevibacter_A_smithii	0.214703904825721	0.00769617792094959	0.034919022137201	Weak
s__Oliverpabstia_intestinalis	0.194221807486712	0.00337252749437263	0.0180635862869324	Very weak
s__Onthovivens_sp900545015	-0.542364532019704	0.00236994908647284	0.0136241052196187	Moderate
s__Parabacteroides_massiliensis	0.219401135959318	0.00153210182991351	0.00955822618889221	Weak
s__Pararoseburia_sp900546435	0.429989847087067	1.88821354148143e-05	0.000252836398603245	Moderate
s__Phascolarctobacterium_A_sp022718015	0.24735722021255	9.42816332555368e-05	0.00102496270608494	Weak
