OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
cece12865e81c96a523b3bb6a4511561,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola_A_858004,s__Phocaeicola_A_858004 vulgatus
73430bc839451a90e446092bddb91416,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella copri
09d1e3b4ed28612c45f4e919fe001666,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Agathobacter_164117,s__Agathobacter rectalis
dcea7192b071c939337560d2acd0f0fc,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,NA
c3342d2a9a35fb23f494d299efedfcb9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales_A_737866,f__Enterobacteriaceae_A,g__Escherichia_710834,NA
1444a890c4270098a199dbe4a594a0a9,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales_A_737866,f__Succinivibrionaceae,g__Succinivibrio,s__Succinivibrio sp000431835
20cf13f228f8d16b499e9493dd2ee208,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,s__Bacteroides_H uniformis
50da935cb4343ba6c21695a03d5353ca,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,s__Bacteroides_H stercoris
5d8284f5d0fe52824d7c773341c82b43,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A_141781,NA
d8999f85296a9d9f0eb3a48834df9d46,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,s__Bacteroides_H fragilis
6521f34e85eb9034e3bd9d4e58dff50a,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,NA
1c3b3d6b5540ae4459f826420b48da10,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides_B_862066,s__Parabacteroides_B_862066 merdae
d7b8a25da82bccc48f91f25966c10940,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium prausnitzii_C_71358
baf2c44be77467f1fe5a25b9617255a1,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Phocaeicola_A_858004,s__Phocaeicola_A_858004 massiliensis
a94d89dcf7bb95846d68f8d547f03ca7,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes_A_871400,s__Alistipes_A_871400 putredinis
438fb020cf251f2c2f4e89552e4a78ff,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia muciniphila_D_776786
9c13009a275ca87b4c1e8ba96489502e,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Dorea_A,s__Dorea_A longicatena
81c822a06abd1085d70c386ec6e6a049,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium_A,s__Phascolarctobacterium_A succinatutens
23279c87e45bb73371eb24fcaad50bea,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,s__Dialister sp900543165
8ef7209537fc461aceaba8148eadb2bf,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Ruminococcus_D,s__Ruminococcus_D bicirculans
012dcdff53409e7c934f24e9b9c52f28,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Fusicatenibacter,s__Fusicatenibacter saccharivorans
24e465c6574f8b20dddf30461c315d39,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter_A_155507,s__Mediterraneibacter_A_155507 faecis
046b079be722d6f92993c83e8fa67756,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger_A_73129,NA
e1dd787a45b6582d7dc397295640fed0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,s__Bacteroides_H clarus
0881804b168c0b7d1bf1b601b1513990,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__Ruminococcus_E,NA
37b9a3c6d6c484d952456ea6a3bc85cf,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales_A_737866,f__Succinivibrionaceae,g__WG-1,s__WG-1 sp000222855
61c660ff322cdd15e900dc4bc8e60cf6,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__
7e3936a7ee9a6e1751a173fc4402fea8,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Bariatricus,NA
07f88a65eed4f94b89b716bcff533a36,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,s__Roseburia inulinivorans
a5a0bda5607ab2f14a9b3cdf23b8f67b,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A_141781,s__Blautia_A_141781 massiliensis
8f2ddb8d1729fc35598d70fbcbd1b1af,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,NA
d186812ad77fb5272ec60a5bbea2cc22,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Anaerostipes,s__Anaerostipes hadrus
d051e46a2ac73aead2b4a876701c9862,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,s__Bacteroides_H caccae
be539a6bda1afc9c6208f87f79355898,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Catenibacterium,NA
c5ba26b27ae603bb11f8e5859cf25747,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium_388775,s__Bifidobacterium vaginale
3c0c6510a8c7bfb052860fff1704270e,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__ER4,s__ER4 sp000765235
adac2e87e83cbfb6d144469e510d6b7c,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella timonensis
cd2d1c880543440df16252c701b79fdb,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A_141781,s__Blautia_A_141781 obeum
a65e529267077b1cdc30122f4161e949,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella copri
b37c72712ed67b5df6653cd80fae6703,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Mediterraneibacter_A_155507,s__Mediterraneibacter_A_155507 torques
70c54903386f76270f8970c03c1247a4,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus iners
a57fbefa772cc389a0085cf035471a25,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,s__Bacteroides_H eggerthii
51a8d5697d6a6fc543f2562aacc07f79,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Veillonellales,f__Dialisteraceae,g__Dialister,s__Dialister invisus
500d57e4d12cc186a53f984c1496f257,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Coprobacillaceae,g__Faecalibacillus,NA
e9532742027946b168d41a97036ffea5,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Vescimonas,s__
bca1ab893f2f7fce1c253bc3247ef0ce,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospira,s__Lachnospira eligens
8aacd128ab3f9270abab2d8a72334c1f,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,NA
a79a4e3f08683f5af3d624c17968fe22,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales_A_737866,f__Pasteurellaceae,g__Haemophilus_D_735815,NA
2981bc914e81ec4e221e97b425136bed,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,NA
33022141594a26f64007d7ec7d3e49f2,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Peptostreptococcales,f__Peptostreptococcaceae_256921,g__Romboutsia_B,s__Romboutsia_B ilealis
7c60bd2ffe3eed870549edc57875acf8,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_595427,f__Burkholderiaceae_A_595427,g__Parasutterella,NA
6bd982a66b0c74116b5c1cd9b824c113,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides_H,s__Bacteroides_H cellulosilyticus
bfec3f48be151947542d749f589a9792,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospira,NA
24bdbf1a7778b804aadd472704d1cbbd,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Ruminococcaceae,g__Gemmiger_A_73129,s__
2d67df94ce79e3f65f6090caf28ae9a0,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Christensenellales,f__CAG-74,g__SFMI01,s__
26d5c4614643a0b9609257f324bbcaae,d__Bacteria,p__Firmicutes_C,c__Negativicutes,o__Acidaminococcales,f__Acidaminococcaceae,g__Phascolarctobacterium_A,s__Phascolarctobacterium_A faecium
bdbee5a451fea7f920fded9b6038a8b9,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella hominis
312015c00f6652c04c215fbc47488649,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A_141781,s__Blautia_A_141781 faecis
f570a6d462344b8fe02a0c28f1bb58d9,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__Acetatifactor sp900066565
cd3e52559a9e53dce7721688de8fd9b5,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Ruminococcus_B,NA
51707fe7f44f7d98546572fcc380de9d,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales_A_737866,f__Enterobacteriaceae_A,NA,NA
a416aae910c85259d4bce05812d303a0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Alloprevotella,s__Alloprevotella timonensis
dc1dd0d62ba1f538598f10e32a53aa3a,d__Bacteria,p__Firmicutes_D,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemanella,s__Holdemanella biformis
8517ed72f5e84cdc5d3bcebd03a7e2cb,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Actinomycetales,f__Bifidobacteriaceae,g__Bifidobacterium_388775,s__Bifidobacterium adolescentis
1b2eff75b5ddbbfb5d6ae504c864ae34,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,NA
95501a89a3915469692bdb7941c11379,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Dysosmobacter,s__Dysosmobacter sp000403435
d8ba2bca8d3e2b15ce28e4c8abe669e8,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Acutalibacteraceae,g__CAG-177,s__CAG-177 sp003538135
1d9d643c1c87f07c17dd6a27ef5d9a02,d__Bacteria,p__Firmicutes_A,c__Clostridia_258483,o__Oscillospirales,f__Oscillospiraceae_88309,g__Vescimonas,s__
57dd19206c35c6845ca56742fd22f73c,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales_595427,f__Burkholderiaceae_A_595427,g__Mesosutterella,NA
85fab18ef1379ebc7faa085a5a9fca01,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Prevotella,s__Prevotella sp003447235
